 url,relevance,start_year,end_year,policy_name,local_government,state,code,excluded,number,declared
https://www.cairns.qld.gov.au/__data/assets/pdf_file/0008/472499/Consultation-Update-July-21-Cairns-Climate-Change-Strategy.pdf,1,,2030,Cairns Climate Change Strategy 2030,Cairns Regional Council,QLD,Cairns ,,61,
https://www.cairns.qld.gov.au/__data/assets/pdf_file/0010/492859/Separate-Attachment-to-Clause-No.-10-Ordinary-Meeting-24-November-2021_Draft-Climate-Change-Strategy-2030.pdf,1,2021,2030,Cairns Climate Change Strategy 2030 Draft For Consultation,Cairns Regional Council,QLD,Cairns ,,62,
https://www.mackay.qld.gov.au/__data/assets/pdf_file/0015/226104/Environmental_Sustainability_Strategy_-_Part_D_-_Action_Plan_2021-2022.pdf,1,2017,2022,Part D Environmental Sustainability Action Plan,Mackay Regional Council,QLD,Mackay ,not found,63,
https://www.mackay.qld.gov.au/__data/assets/pdf_file/0010/193780/089_-_Climate_Change_Adaptation_Policy_-_Adopted_14_November_2018.pdf,1,2018,,Climate Change Adaptation Policy,Mackay Regional Council,QLD,Mackay ,,64,
https://websync.msc.qld.gov.au/corporate_documents/files/606/Climate%20Change%20Resilience%20Policy.pdf,1,2021,,Climate Change Resilience Policy,Mareeba Shire Council,QLD,Mareeba ,deleted,65,
https://www.moretonbay.qld.gov.au/files/assets/public/services/building-development/mbrc-plan/background-studies/climatechangeroadmap2013-2016.pdf,1,2013,2016,Roadmap for a changing climate,Moreton Bay Regional Council,QLD,Moreton ,,66,
https://www.tsra.gov.au/__data/assets/pdf_file/0015/12372/TS-Regional-Adaptation-and-Resillience-Plan-Final.pdf,1,,,Adaptation and Resilience Plan,Torres Shire Council,QLD,Torres ,,67,
https://irs.delegateconnect.co/client_uploads/brisbane-clean-green-sustainable-2017-2031/download,1,2017,2031,"Brisbane. Clean, Green, Sustainable 2017-2031",Brisbane City Council,QLD,Brisbane ,,68,
https://www.ahc.sa.gov.au/ahc-council/Documents/Reports-Strategies-Policies-Plans/Strategies-Plans/COUNCIL-PLAN-Carbon-Management-2019.pdf,1,2019,,Corporate Carbon Management Plan ,Adelaide Hills Council,SA,Adelaide Hills,,69,26/03/19
https://www.alexandrina.sa.gov.au/__data/assets/pdf_file/0030/194493/Environmental-Action-Plan-2014-2018.pdf,1,2014,2018,Environmental Action Plan,Alexandrina Council,SA,Alexandrina ,,70,16/12/19
https://www.charlessturt.sa.gov.au/__data/assets/pdf_file/0027/738090/Net-Zero-Our-Map-to-Net-Zero-Corporate-Emissions-2020-to-2025.pdf,1,2020,2025,Net Zero,City of Charles Sturt,SA,CharlesSturt,,71,09/12/19
https://www.charlessturt.sa.gov.au/__data/assets/pdf_file/0024/160548/Environmental-Sustainability-Policy-September-2020.pdf,1,2020,,Environmental Sustainability Policy,City of Charles Sturt,SA,CharlesSturt,,72,09/12/19
https://cdn.holdfast.sa.gov.au/general-downloads/Services/Climate-Ready-Booklet_Final-November-2020.pdf,1,,2030,CLIMATE READY HOLDFAST BAY,City of Holdfast Bay,SA,HoldfastBay,,73,08/10/19
